nomelinea,totale
dgm-roma-linea0,3592
dgm-roma-linea1,2195
dgm-roma-linea10,2546
dgm-roma-linea11,2545
dgm-roma-linea12,3092
dgm-roma-linea13,3694
dgm-roma-linea14,3278
dgm-roma-linea15,3474
dgm-roma-linea16,3619
dgm-roma-linea17,3478
dgm-roma-linea18,2437
dgm-roma-linea19,2392
dgm-roma-linea2,2115
dgm-roma-linea20,2547
dgm-roma-linea21,5607
dgm-roma-linea22,5288
dgm-roma-linea23,5602
dgm-roma-linea24,5064
dgm-roma-linea25,4890
dgm-roma-linea26,4844
dgm-roma-linea27,5500
dgm-roma-linea28,5895
dgm-roma-linea29,4996
dgm-roma-linea3,2428
dgm-roma-linea4,2263
dgm-roma-linea5,2462
dgm-roma-linea6,3012
dgm-roma-linea7,2697
dgm-roma-linea8,3391
dgm-roma-linea9,2275
